Minute,,Assist
69,Left-footed shot,Xavi
69,Left-footed shot,Xavi
69,Left-footed shot,Xavi
69,Left-footed shot,Xavi
69,Left-footed shot,Xavi
70,Left-footed shot,Xavi
70,Left-footed shot,Yaya Toure
70,Left-footed shot,Yaya Toure
70,Left-footed shot,Yaya Toure
70,Left-footed shot,Yaya Toure
71,Left-footed shot,Zlatan Ibrahimovic
71,Left-footed shot,Zlatan Ibrahimovic
71,Left-footed shot,Zlatan Ibrahimovic
71,Left-footed shot,Zlatan Ibrahimovic
71,Left-footed shot,Zlatan Ibrahimovic
72,Left-footed shot,
72,Left-footed shot,
72,Left-footed shot,
72,Left-footed shot,
72,Left-footed shot,
72,Left-footed shot,
73,Left-footed shot,
73,Left-footed shot,
73,Left-footed shot,
73,Left-footed shot,
73,Left-footed shot,
73,Left-footed shot,
73,Left-footed shot,
73,Left-footed shot,
74,Left-footed shot,
74,Left-footed shot,
74,Left-footed shot,
74,Left-footed shot,
74,Penalty,
74,Penalty,
74,Penalty,
74,Penalty,
75,Penalty,
75,Penalty,
75,Penalty,
75,Penalty,
75,Penalty,
75,Penalty,
75,Penalty,
75,Penalty,
75,Penalty,
75,Penalty,
76,Penalty,
76,Penalty,
76,Penalty,
76,Penalty,
76,Penalty,
76,Penalty,
77,Penalty,
77,Penalty,
77,Penalty,
77,Penalty,
77,Penalty,
77,Penalty,
77,Penalty,
77,Penalty,
77,Penalty,
78,Penalty,
78,Penalty,
78,Penalty,
78,Penalty,
78,Penalty,
78,Penalty,
78,Penalty,
78,Penalty,
78,Penalty,
78,Penalty,
78,Penalty,
78,Penalty,
79,Penalty,
79,Penalty,
79,Penalty,
79,Penalty,
79,Penalty,
79,Penalty,
79,Penalty,
80,Penalty,
80,Penalty,
80,Penalty,
80,Penalty,
80,Penalty,
80,Penalty,
80,Penalty,
80,Penalty,
80,Penalty,
80,Penalty,
81,Penalty,
81,Penalty,
81,Penalty,
81,Penalty,
81,Penalty,
82,Penalty,
82,Penalty,
82,Penalty,
82,Penalty,
82,Penalty,
82,Penalty,
82,Penalty,
82,Penalty,
82,Penalty,
82,Penalty,
83,Penalty rebound,
83,Penalty rebound,
83,Penalty rebound,
83,Right-footed shot,
83,Right-footed shot,
83,Right-footed shot,
83,Right-footed shot,
84,Right-footed shot,
84,Right-footed shot,
84,Right-footed shot,
84,Right-footed shot,
84,Right-footed shot,
84,Right-footed shot,
85,Right-footed shot,
85,Right-footed shot,
