Season,Competition,Matchday,Date,Home/Away,Opponent,Result,Position,Minute,Score,Type,Assist
,LaLiga,30,4/3/2010,H,Athletic (6.),4:01,CF,67',4:00,Left-footed shot,Pedro
,Champions League,Quarter-Finals,4/6/2010,H,Arsenal,4:01,RW,21',1:01,Left-footed shot,
,,,,,,,,37',2:01,Right-footed shot,Pedro
,,,,,,,,42',3:01,Left-footed shot,Seydou Keita
,,,,,,,,88',4:01,Left-footed shot,Xavi
,LaLiga,31,4/10/2010,A,Real Madrid (1.),0:02,CF,32',0:01,Right-footed shot,Xavi
,LaLiga,35,5/1/2010,A,Villarreal (6.),1:04,RW,18',0:01,Left-footed shot,Xavi
,,,,,,,,87',1:04,Left-footed shot,Dani Alves
,LaLiga,36,5/4/2010,H,CD Tenerife (18.),4:01,RW,16',1:00,Right-footed shot,Zlatan Ibrahimovic
,,,,,,,,90'+3,4:01,Right-footed shot,Dani Alves
,LaLiga,37,5/8/2010,A,Sevilla FC (4.),2:03,RW,5',0:01,Left-footed shot,Maxwell
,LaLiga,38,5/16/2010,H,Real Valladolid (18.),4:00,RW,61',3:00,Right-footed shot,Yaya Touré
,,,,,,,,74',4:00,Left-footed shot,Yaya Touré
Season 10/11,,,,,,,,,,,
,Supercopa,final,8/21/2010,H,Sevilla FC,4:00,RW,25',2:00,Left-footed shot,Xavi
,,,,,,,,43',3:00,Right-footed shot,Dani Alves
,,,,,,,,90'+1,4:00,Left-footed shot,Andrés Iniesta
,LaLiga,1,8/29/2010,A,Racing (12.),0:03,RW,3',0:01,Left-footed shot,Andrés Iniesta
,Champions League,Group Stage,9/14/2010,H,Panathinaikos,5:01,CF,22',1:01,Left-footed shot,Xavi
,,,,,,,,45',3:01,Left-footed shot,Pedro
,LaLiga,3,9/19/2010,A,Atlético Madrid (1.),1:02,CF,12',0:01,Left-footed shot,Pedro
,LaLiga,6,10/3/2010,H,RCD Mallorca (11.),1:01,CF,20',1:00,Left-footed shot,Pedro
,Champions League,Group Stage,10/20/2010,H,FC Copenhagen,2:00,CF,18',1:00,Left-footed shot,Andrés Iniesta
,,,,,,,,90'+1,2:00,Left-footed shot,Éric Abidal
,LaLiga,8,10/23/2010,A,Real Zaragoza (20.),0:02,CF,41',0:01,Left-footed shot,David Villa
,,,,,,,,65',0:02,Left-footed shot,
,LaLiga,9,10/30/2010,H,Sevilla FC (6.),5:00,RW,4',1:00,Left-footed shot,
,,,,,,,,63',4:00,Left-footed shot,
,Champions League,Group Stage,11/2/2010,A,FC Copenhagen,1:01,CF,31',0:01,Right-footed shot,
,LaLiga,10,11/7/2010,A,Getafe (10.),1:03,CF,23',0:01,Left-footed shot,David Villa
,Copa del Rey,4th round,11/10/2010,H,AD Ceuta,5:01,RW,67',5:01,Left-footed shot,Thiago
,LaLiga,11,11/13/2010,H,Villarreal (3.),3:01,CF,58',2:01,Right-footed shot,Pedro
,,,,,,,,83',3:01,Left-footed shot,Pedro
,LaLiga,12,11/20/2010,A,UD Almería (18.),0:08,CF,16',0:01,Left-footed shot,David Villa
,,,,,,,,36',0:05,Tap-in,
,,,,,,,,67',0:07,Tap-in,David Villa
,Champions League,Group Stage,11/24/2010,A,Panathinaikos,0:03,CF,63',0:02,Left-footed shot,Adriano
,LaLiga,14,12/4/2010,A,CA Osasuna (12.),0:03,CF,64',0:02,Left-footed shot,David Villa
,,,,,,,,82',0:03,Penalty,
,LaLiga,15,12/12/2010,H,Real Sociedad (6.),5:00,CF,46',3:00,Left-footed shot,Dani Alves
,,,,,,,,86',4:00,Left-footed shot,Bojan Krkic
,LaLiga,18,1/8/2011,A,Dep. La Coruña (12.),0:04,CF,51',0:02,Direct free kick,
,Copa del Rey,Quarter-Finals,1/12/2011,H,Real Betis,5:00,CF,44',1:00,Left-footed shot,Andrés Iniesta
,,,,,,,,63',2:00,Left-footed shot,
,,,,,,,,73',3:00,Left-footed shot,Xavi
,Copa del Rey,Quarter-Finals,1/19/2011,A,Real Betis,3:01,RW,37',2:01,Left-footed shot,Xavi
,LaLiga,20,1/22/2011,H,Racing (14.),3:00,CF,33',2:00,Penalty,
,Copa del Rey,Semi-Finals,1/26/2011,H,UD Almería,5:00,CF,9',1:00,Left-footed shot,Pedro
,,,,,,,,15',3:00,Left-footed shot,Andrés Iniesta
,LaLiga,21,1/29/2011,A,Hércules CF (12.),0:03,CF,87',0:02,Left-footed shot,Dani Alves
,,,,,,,,89',0:03,Left-footed shot,Dani Alves
,LaLiga,22,2/5/2011,H,Atlético Madrid (7.),3:00,CF,16',1:00,Left-footed shot,Dani Alves
,,,,,,,,28',2:00,Left-footed shot,Pedro
,,,,,,,,78',3:00,Left-footed shot,David Villa
,LaLiga,24,2/20/2011,H,Athletic (5.),2:01,CF,78',2:01,Right-footed shot,Dani Alves
,LaLiga,25,2/26/2011,A,RCD Mallorca (11.),0:03,CF,38',0:01,Header,Seydou Keita
,LaLiga,26,3/2/2011,A,Valencia (3.),0:01,CF,77',0:01,Left-footed shot,Adriano
,Champions League,last 16,3/8/2011,H,Arsenal,3:01,RW,49',1:00,Left-footed shot,Andrés Iniesta
,,,,,,,,72',3:01,Penalty,
,LaLiga,31,4/9/2011,H,UD Almería (20.),3:01,CF,52',1:01,Penalty,
,,,,,,,,90'+1,3:01,Left-footed shot,Seydou Keita
,Champions League,Quarter-Finals,4/12/2011,A,Shakhtar D.,0:01,CF,42',0:01,Left-footed shot,Dani Alves
,LaLiga,32,4/16/2011,A,Real Madrid (2.),1:01,CF,53',0:01,Penalty,
,LaLiga,33,4/23/2011,H,CA Osasuna (16.),2:00,CF,87',2:00,Right-footed shot,Dani Alves
,Champions League,Semi-Finals,4/27/2011,A,Real Madrid,0:02,CF,76',0:01,Left-footed shot,Ibrahim Afellay
,,,,,,,,87',0:02,Solo run,Sergio Busquets
,Champions League,Final,5/28/2011,H,Man Utd,3:01,CF,54',2:01,Left-footed shot,Andrés Iniesta
Season 11/12,,,,,,,,,,,
,Supercopa,final,8/14/2011,A,Real Madrid,2:02,CF,45',1:02,Left-footed shot,Thiago
,Supercopa,final,8/17/2011,H,Real Madrid,3:02,CF,44',2:01,Right-footed shot,Gerard Piqué
,,,,,,,,88',3:02,Left-footed shot,Adriano
,UEFA Super Cup,Final,8/26/2011,H,FC Porto,2:00,CF,39',1:00,Left-footed shot,
,LaLiga,2,8/29/2011,H,Villarreal (5.),5:00,CF,51',4:00,Right-footed shot,Andrés Iniesta
,,,,,,,,74',5:00,Left-footed shot,Thiago
,LaLiga,4,9/17/2011,H,CA Osasuna (8.),8:00,CF,5',1:00,Left-footed shot,Dani Alves
,,,,,,,,41',5:00,Left-footed shot,Cesc Fàbregas
,,,,,,,,79',8:00,Left-footed shot,Cesc Fàbregas
,LaLiga,6,9/24/2011,H,Atlético Madrid (4.),5:00,CF,26',3:00,Left-footed shot,Pedro
,,,,,,,,78',4:00,Left-footed shot,Dani Alves
,,,,,,,,90'+1,5:00,Left-footed shot,David Villa
,Champions League,Group Stage,9/28/2011,A,BATE Borisov,0:05,CF,38',0:03,Header,
,,,,,,,,56',0:04,Left-footed shot,Dani Alves
,LaLiga,8,10/15/2011,H,Racing (18.),3:00,CF,11',1:00,Right-footed shot,Andrés Iniesta
,,,,,,,,69',3:00,Right-footed shot,
,LaLiga,11,10/29/2011,H,RCD Mallorca (12.),5:00,CF,13',1:00,Penalty,
,,,,,,,,21',2:00,Right-footed shot,Adriano
,,,,,,,,30',3:00,Left-footed shot,Dani Alves
,Champions League,Group Stage,11/1/2011,A,Viktoria Plzen,0:04,CF,24',0:01,Penalty,
,,,,,,,,45'+2,0:02,Left-footed shot,Adriano
,,,,,,,,90'+2,0:04,Left-footed shot,Gerard Piqué
