Season,Competition,Matchday,Date,Home/Away,Opponent,Result,Position,Minute,Score,Type,Assist
,LaLiga,18,12/21/2019,H,Alavés (14.),4:01,RW,69',3:01,Left-footed shot,Luis Suárez
,Supercopa,Semi-Finals,1/9/2020,H,Atlético Madrid,2:03,RW,51',1:01,Right-footed shot,Luis Suárez
,LaLiga,20,1/19/2020,H,Granada CF (10.),1:00,CF,76',1:00,Right-footed shot,Arturo Vidal
,Copa del Rey,Round of 16,1/30/2020,H,CD Leganés,5:00,RW,59',3:00,Left-footed shot,Frenkie de Jong
,,,,,,,,89',5:00,Left-footed shot,Ivan Rakitic
,LaLiga,25,2/22/2020,H,SD Eibar (16.),5:00,SS,14',1:00,Left-footed shot,Ivan Rakitic
,,,,,,,,37',2:00,Left-footed shot,Arturo Vidal
,,,,,,,,40',3:00,Left-footed shot,
,,,,,,,,87',4:00,Left-footed shot,
,LaLiga,27,3/7/2020,H,Real Sociedad (6.),1:00,RW,81',1:00,Penalty,
